student_id,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S-0172,male,group E,some high school,standard,none,94,88,78
S-0173,female,group D,some college,standard,none,79,86,81
S-0174,female,group C,associate's degree,standard,none,63,67,70
S-0175,female,group C,bachelor's degree,free/reduced,completed,43,51,54
S-0176,female,group C,master's degree,standard,completed,81,91,87
S-0177,female,group B,high school,free/reduced,completed,46,54,58
S-0178,female,group C,associate's degree,standard,completed,71,77,77
S-0179,female,group B,master's degree,free/reduced,completed,52,70,62
S-0180,female,group D,some high school,standard,completed,97,100,100
S-0181,male,group C,master's degree,free/reduced,completed,62,68,75
S-0182,female,group C,some college,free/reduced,none,46,64,66
S-0183,female,group E,high school,standard,none,50,50,47
S-0184,female,group D,associate's degree,standard,none,65,69,70
S-0185,male,group C,some high school,free/reduced,completed,45,52,49
S-0186,male,group C,associate's degree,free/reduced,completed,65,67,65
S-0187,male,group E,high school,standard,none,80,76,65
S-0188,male,group D,some high school,standard,completed,62,66,68
S-0189,male,group B,some high school,free/reduced,none,48,52,45
S-0190,female,group C,bachelor's degree,standard,none,77,88,87
S-0191,female,group E,associate's degree,standard,none,66,65,69
S-0192,male,group D,some college,standard,completed,76,83,79
S-0193,female,group B,some high school,standard,none,62,64,66
S-0194,male,group D,some college,standard,completed,77,62,62
S-0195,female,group C,master's degree,standard,completed,69,84,85
S-0196,male,group D,associate's degree,standard,none,61,55,52
S-0197,male,group C,some high school,free/reduced,completed,59,69,65
S-0198,male,group E,high school,free/reduced,none,55,56,51
S-0199,female,group B,some college,free/reduced,none,45,53,55
S-0200,female,group B,bachelor's degree,free/reduced,none,78,79,76
S-0201,female,group C,associate's degree,standard,completed,67,84,86
S-0202,female,group D,some college,free/reduced,none,65,81,77
S-0203,male,group C,associate's degree,standard,none,69,77,69
S-0204,female,group B,associate's degree,standard,none,57,69,68
S-0205,male,group C,some college,standard,none,59,41,42
S-0206,male,group D,some high school,standard,completed,74,71,78
S-0207,male,group E,bachelor's degree,standard,none,82,62,62
S-0208,male,group E,high school,standard,completed,81,80,76
S-0209,female,group B,some college,free/reduced,none,74,81,76
S-0210,female,group B,some college,free/reduced,none,58,61,66
S-0211,male,group D,some high school,free/reduced,completed,80,79,79
S-0212,male,group C,some college,free/reduced,none,35,28,27
S-0213,female,group C,high school,free/reduced,none,42,62,60
S-0214,male,group C,associate's degree,free/reduced,completed,60,51,56
S-0215,male,group E,high school,standard,completed,87,91,81
S-0216,male,group B,some high school,standard,completed,84,83,75
S-0217,female,group E,associate's degree,free/reduced,completed,83,86,88
S-0218,female,group C,high school,free/reduced,none,34,42,39
S-0219,male,group B,high school,free/reduced,none,66,77,70
S-0220,male,group B,some high school,standard,completed,61,56,56
S-0221,female,group D,high school,standard,completed,56,68,74
S-0222,male,group B,associate's degree,standard,none,87,85,73
S-0223,female,group C,some high school,free/reduced,none,55,65,62
S-0224,male,group D,some high school,standard,none,86,80,75
S-0225,female,group B,associate's degree,standard,completed,52,66,73
S-0226,female,group E,master's degree,free/reduced,none,45,56,54
S-0227,female,group C,some college,standard,none,72,72,71
S-0228,male,group D,high school,standard,none,57,50,54
S-0229,male,group A,some high school,free/reduced,none,68,72,64
S-0230,female,group C,some college,standard,completed,88,95,94
S-0231,male,group D,some college,standard,none,76,64,66
S-0232,male,group C,associate's degree,standard,none,46,43,42
S-0233,female,group B,bachelor's degree,standard,none,67,86,83
S-0234,male,group E,some high school,standard,none,92,87,78
S-0235,male,group C,bachelor's degree,standard,completed,83,82,84
S-0236,male,group D,associate's degree,standard,none,80,75,77
S-0237,male,group D,bachelor's degree,free/reduced,none,63,66,67
S-0238,female,group D,some high school,standard,completed,64,60,74
S-0239,male,group B,some college,standard,none,54,52,51
S-0240,male,group C,associate's degree,standard,none,84,80,80
S-0241,male,group D,high school,free/reduced,completed,73,68,66
S-0242,female,group E,bachelor's degree,standard,none,80,83,83
S-0243,female,group D,high school,standard,none,56,52,55
S-0244,male,group E,some college,standard,none,59,51,43
S-0245,male,group D,some high school,standard,none,75,74,69
S-0246,male,group C,associate's degree,standard,none,85,76,71
S-0247,male,group E,associate's degree,standard,none,89,76,74
S-0248,female,group B,high school,standard,completed,58,70,68
S-0249,female,group B,high school,standard,none,65,64,62
S-0250,male,group C,high school,standard,none,68,60,53
S-0251,male,group A,some high school,standard,completed,47,49,49
S-0252,female,group D,some college,free/reduced,none,71,83,83
S-0253,female,group B,some high school,standard,completed,60,70,70
S-0254,male,group D,master's degree,standard,none,80,80,72
S-0255,male,group D,high school,standard,none,54,52,52
S-0256,female,group E,some college,standard,none,62,73,70
S-0257,female,group C,associate's degree,free/reduced,none,64,73,68
S-0258,male,group C,associate's degree,standard,completed,78,77,77
S-0259,female,group B,some college,standard,none,70,75,78
S-0260,female,group C,master's degree,free/reduced,completed,65,81,81
S-0261,female,group C,some high school,free/reduced,completed,64,79,77
S-0262,male,group C,some college,standard,completed,79,79,78
S-0263,female,group C,some high school,free/reduced,none,44,50,51
S-0264,female,group E,high school,standard,none,99,93,90
S-0265,male,group D,high school,standard,none,76,73,68
S-0266,male,group D,some high school,free/reduced,none,59,42,41
S-0267,female,group C,bachelor's degree,standard,none,63,75,81
S-0268,female,group D,high school,standard,none,69,72,77
S-0269,female,group D,associate's degree,standard,completed,88,92,95
S-0270,female,group E,some college,free/reduced,none,71,76,70
S-0271,male,group C,bachelor's degree,standard,none,69,63,61
S-0272,male,group C,some college,standard,none,58,49,42
S-0273,female,group D,associate's degree,free/reduced,none,47,53,58
S-0274,female,group D,some college,standard,none,65,70,71
S-0275,male,group B,some college,standard,completed,88,85,76
S-0276,male,group C,bachelor's degree,standard,none,83,78,73
S-0277,female,group C,some high school,standard,completed,85,92,93
S-0278,female,group E,high school,standard,completed,59,63,75
S-0279,female,group C,some high school,free/reduced,none,65,86,80
S-0280,male,group B,bachelor's degree,free/reduced,none,73,56,57
S-0281,male,group D,high school,standard,none,53,52,42
S-0282,male,group D,high school,standard,none,45,48,46
S-0283,female,group D,bachelor's degree,free/reduced,none,73,79,84
S-0284,female,group D,some college,free/reduced,completed,70,78,78
S-0285,female,group B,some high school,standard,none,37,46,46
S-0286,male,group B,associate's degree,standard,completed,81,82,82
S-0287,male,group E,associate's degree,standard,completed,97,82,88
S-0288,female,group B,some high school,standard,none,67,89,82
S-0289,male,group B,bachelor's degree,free/reduced,none,88,75,76
S-0290,male,group E,some high school,standard,completed,77,76,77
S-0291,male,group C,associate's degree,standard,none,76,70,68
S-0292,male,group D,some high school,standard,none,86,73,70
S-0293,male,group C,some high school,standard,completed,63,60,57
S-0294,female,group E,bachelor's degree,standard,none,65,73,75
S-0295,male,group D,high school,free/reduced,completed,78,77,80
S-0296,male,group B,associate's degree,free/reduced,none,67,62,60
S-0297,male,group A,some high school,standard,completed,46,41,43
S-0298,male,group E,associate's degree,standard,completed,71,74,68
S-0299,male,group C,high school,free/reduced,completed,40,46,50
S-0300,male,group D,associate's degree,free/reduced,none,90,87,75
S-0301,male,group A,some college,free/reduced,completed,81,78,81
S-0302,male,group D,some high school,free/reduced,none,56,54,52
S-0303,female,group C,associate's degree,standard,completed,67,84,81
S-0304,male,group B,associate's degree,standard,none,80,76,64
S-0305,female,group C,associate's degree,standard,completed,74,75,83
S-0306,male,group A,some college,standard,none,69,67,69
S-0307,male,group E,some college,standard,completed,99,87,81
S-0308,male,group C,some high school,standard,none,51,52,44
S-0309,female,group B,associate's degree,free/reduced,none,53,71,67
S-0310,female,group D,high school,free/reduced,none,49,57,52
S-0311,female,group B,associate's degree,standard,none,73,76,80
S-0312,male,group B,bachelor's degree,standard,none,66,60,57
S-0313,male,group D,bachelor's degree,standard,completed,67,61,68
S-0314,female,group C,associate's degree,free/reduced,completed,68,67,69
S-0315,female,group C,bachelor's degree,standard,completed,59,64,75
S-0316,male,group C,high school,standard,none,71,66,65
S-0317,female,group D,master's degree,standard,completed,77,82,91
S-0318,male,group C,associate's degree,standard,none,83,72,78
S-0319,male,group B,bachelor's degree,standard,none,63,71,69
S-0320,female,group D,associate's degree,free/reduced,none,56,65,63
S-0321,female,group C,high school,free/reduced,completed,67,79,84
S-0322,female,group E,high school,standard,none,75,86,79
S-0323,female,group C,some college,standard,none,71,81,80
S-0324,female,group C,some high school,free/reduced,none,43,53,53
S-0325,female,group C,high school,free/reduced,none,41,46,43
S-0326,female,group C,some college,standard,none,82,90,94
S-0327,male,group C,some college,standard,none,61,61,62
S-0328,male,group A,some college,free/reduced,none,28,23,19
S-0329,male,group C,associate's degree,standard,completed,82,75,77
S-0330,female,group B,some high school,standard,none,41,55,51
S-0331,male,group C,high school,standard,none,71,60,61
S-0332,male,group C,associate's degree,standard,none,47,37,35
S-0333,male,group E,associate's degree,standard,completed,62,56,53
S-0334,male,group B,associate's degree,standard,none,90,78,81
S-0335,female,group C,bachelor's degree,standard,none,83,93,95
S-0336,female,group B,some college,free/reduced,none,61,68,66
S-0337,male,group D,some high school,standard,completed,76,70,69
S-0338,male,group C,associate's degree,standard,none,49,51,43
S-0339,female,group B,some high school,free/reduced,none,24,38,27
S-0340,female,group D,some high school,free/reduced,completed,35,55,60
S-0341,male,group C,high school,free/reduced,none,58,61,52
S-0342,female,group C,high school,standard,none,61,73,63
S-0343,female,group B,high school,standard,completed,69,76,74
S-0344,male,group D,associate's degree,standard,completed,67,72,67
S-0345,male,group D,some college,standard,none,79,73,67
S-0346,female,group C,high school,standard,none,72,80,75
S-0347,male,group B,some college,standard,none,62,61,57
S-0348,female,group C,bachelor's degree,standard,completed,77,94,95
S-0349,male,group D,high school,free/reduced,none,75,74,66
S-0350,male,group E,associate's degree,standard,none,87,74,76
S-0351,female,group B,bachelor's degree,standard,none,52,65,69
S-0352,male,group E,some college,standard,none,66,57,52
S-0353,female,group C,some college,standard,completed,63,78,80
S-0354,female,group C,associate's degree,standard,none,46,58,57
S-0355,female,group C,some college,standard,none,59,71,70
S-0356,female,group B,bachelor's degree,standard,none,61,72,70
S-0357,male,group A,associate's degree,standard,none,63,61,61
S-0358,female,group C,some college,free/reduced,completed,42,66,69
S-0359,male,group D,some college,free/reduced,none,59,62,61
S-0360,female,group D,some college,standard,none,80,90,89
S-0361,female,group B,high school,standard,none,58,62,59
S-0362,male,group B,some high school,standard,completed,85,84,78
S-0363,female,group C,some college,standard,none,52,58,58
S-0364,female,group D,some high school,free/reduced,none,27,34,32
S-0365,male,group C,some college,standard,none,59,60,58
S-0366,male,group A,bachelor's degree,free/reduced,completed,49,58,60
S-0367,male,group C,high school,standard,completed,69,58,53
S-0368,male,group C,bachelor's degree,free/reduced,none,61,66,61
S-0369,female,group A,some high school,free/reduced,none,44,64,58
S-0370,female,group D,some high school,standard,none,73,84,85
S-0371,male,group E,some college,standard,none,84,77,71
S-0372,female,group C,some college,free/reduced,completed,45,73,70
S-0373,male,group D,some high school,standard,none,74,74,72
S-0374,female,group D,some college,standard,completed,82,97,96
S-0375,female,group D,bachelor's degree,standard,none,59,70,73
S-0376,male,group E,associate's degree,free/reduced,none,46,43,41
S-0377,female,group D,some high school,standard,none,80,90,82
S-0378,female,group D,master's degree,free/reduced,completed,85,95,100
S-0379,female,group A,some high school,standard,none,71,83,77
S-0380,male,group A,bachelor's degree,standard,none,66,64,62
S-0381,female,group B,associate's degree,standard,none,80,86,83
S-0382,male,group C,associate's degree,standard,completed,87,100,95
S-0383,male,group C,master's degree,free/reduced,none,79,81,71
S-0384,female,group E,some high school,free/reduced,none,38,49,45
S-0385,female,group A,some high school,free/reduced,none,38,43,43
S-0386,female,group E,some college,standard,none,67,76,75
S-0387,female,group E,bachelor's degree,standard,none,64,73,70
S-0388,female,group C,associate's degree,free/reduced,none,57,78,67
S-0389,female,group D,high school,standard,none,62,64,64
S-0390,male,group D,master's degree,standard,none,73,70,75
S-0391,male,group E,some high school,free/reduced,completed,73,67,59
S-0392,female,group D,some college,standard,none,77,68,77
S-0393,male,group E,some college,standard,none,76,67,67
S-0394,male,group C,associate's degree,standard,completed,57,54,56
S-0395,female,group C,some high school,standard,completed,65,74,77
S-0396,male,group A,high school,free/reduced,none,48,45,41
S-0397,female,group B,high school,free/reduced,none,50,67,63
S-0398,female,group C,associate's degree,standard,none,85,89,95
S-0399,male,group B,some high school,standard,none,74,63,57
S-0400,male,group D,some high school,standard,none,60,59,54
S-0401,female,group C,some high school,standard,completed,59,54,67
S-0402,male,group A,some college,standard,none,53,43,43
S-0403,female,group A,some college,free/reduced,none,49,65,55
S-0404,female,group D,high school,standard,completed,88,99,100
S-0405,female,group C,high school,standard,none,54,59,62
S-0406,female,group C,some high school,standard,none,63,73,68
S-0407,male,group B,associate's degree,standard,completed,65,65,63
S-0408,female,group B,associate's degree,standard,none,82,80,77
S-0409,female,group D,high school,free/reduced,completed,52,57,56
S-0410,male,group D,associate's degree,standard,completed,87,84,85
S-0411,female,group D,master's degree,standard,completed,70,71,74
S-0412,male,group E,some college,standard,completed,84,83,78
S-0413,male,group D,associate's degree,standard,none,71,66,60
S-0414,male,group B,some high school,standard,completed,63,67,67
S-0415,female,group C,bachelor's degree,free/reduced,completed,51,72,79
S-0416,male,group E,high school,standard,none,84,73,69
S-0417,male,group C,bachelor's degree,standard,completed,71,74,68
S-0418,male,group C,associate's degree,standard,none,74,73,67
S-0419,male,group D,some college,standard,none,68,59,62
S-0420,male,group E,high school,free/reduced,completed,57,56,54
S-0421,female,group C,associate's degree,free/reduced,completed,82,93,93
S-0422,female,group D,high school,standard,completed,57,58,64
S-0423,female,group D,master's degree,free/reduced,completed,47,58,67
S-0424,female,group A,some high school,standard,completed,59,85,80
S-0425,male,group B,some college,free/reduced,none,41,39,34
S-0426,female,group C,some college,free/reduced,none,62,67,62
S-0427,male,group C,bachelor's degree,standard,none,86,83,86
S-0428,male,group C,some high school,free/reduced,none,69,71,65
S-0429,male,group A,some high school,free/reduced,none,65,59,53
S-0430,male,group C,some high school,free/reduced,none,68,63,54
S-0431,male,group C,associate's degree,free/reduced,none,64,66,59
S-0432,female,group C,high school,standard,none,61,72,70
S-0433,male,group C,high school,standard,none,61,56,55
S-0434,female,group A,some high school,free/reduced,none,47,59,50
S-0435,male,group C,some high school,standard,none,73,66,66
S-0436,male,group C,some college,free/reduced,completed,50,48,53
S-0437,male,group D,associate's degree,standard,none,75,68,64
S-0438,male,group D,associate's degree,free/reduced,none,75,66,73
S-0439,male,group C,high school,standard,none,70,56,51
S-0440,male,group D,some high school,standard,completed,89,88,82
S-0441,female,group C,some college,standard,completed,67,81,79
S-0442,female,group D,high school,standard,none,78,81,80
S-0443,female,group A,some high school,free/reduced,none,59,73,69
S-0444,female,group B,associate's degree,standard,none,73,83,76
S-0445,male,group A,some high school,free/reduced,none,79,82,73
S-0446,female,group C,some high school,standard,completed,67,74,77
S-0447,male,group D,some college,free/reduced,none,69,66,60
S-0448,male,group C,high school,standard,completed,86,81,80
S-0449,male,group B,high school,standard,none,47,46,42
S-0450,male,group B,associate's degree,standard,none,81,73,72
S-0451,female,group C,some college,free/reduced,completed,64,85,85
S-0452,female,group E,some college,standard,none,100,92,97
S-0453,female,group C,associate's degree,free/reduced,none,65,77,74
S-0454,male,group C,some college,free/reduced,none,65,58,49
S-0455,female,group C,associate's degree,free/reduced,none,53,61,62
S-0456,male,group C,bachelor's degree,free/reduced,none,37,56,47
S-0457,female,group D,bachelor's degree,standard,none,79,89,89
S-0458,male,group D,associate's degree,free/reduced,none,53,54,48
S-0459,female,group E,bachelor's degree,standard,none,100,100,100
S-0460,male,group B,high school,standard,completed,72,65,68
S-0461,male,group C,bachelor's degree,free/reduced,none,53,58,55
S-0462,male,group B,some college,free/reduced,none,54,54,45
S-0463,female,group E,some college,standard,none,71,70,76
S-0464,female,group C,some college,free/reduced,none,77,90,91
S-0465,male,group A,bachelor's degree,standard,completed,75,58,62
S-0466,female,group C,some college,standard,none,84,87,91
S-0467,female,group D,associate's degree,free/reduced,none,26,31,38
S-0468,male,group A,high school,free/reduced,completed,72,67,65
S-0469,female,group A,high school,free/reduced,completed,77,88,85
S-0470,male,group C,some college,standard,none,91,74,76
S-0471,female,group C,associate's degree,standard,completed,83,85,90
S-0472,female,group C,high school,standard,none,63,69,74
S-0473,female,group C,associate's degree,standard,completed,68,86,84
S-0474,female,group D,some high school,standard,none,59,67,61
S-0475,female,group B,associate's degree,standard,completed,90,90,91
S-0476,female,group D,bachelor's degree,standard,completed,71,76,83
S-0477,male,group E,bachelor's degree,standard,completed,76,62,66
S-0478,male,group D,associate's degree,standard,none,80,68,72
S-0479,female,group D,master's degree,standard,none,55,64,70
S-0480,male,group E,associate's degree,standard,none,76,71,67
S-0481,male,group B,high school,standard,completed,73,71,68
S-0482,female,group D,associate's degree,free/reduced,none,52,59,56
S-0483,male,group C,some college,free/reduced,none,68,68,61
S-0484,male,group A,high school,standard,none,59,52,46
S-0485,female,group B,associate's degree,standard,none,49,52,54
S-0486,male,group C,high school,standard,none,70,74,71
S-0487,male,group D,some college,free/reduced,none,61,47,56
S-0488,female,group C,associate's degree,free/reduced,none,60,75,74
S-0489,male,group B,some high school,standard,completed,64,53,57
S-0490,male,group A,associate's degree,free/reduced,completed,79,82,82
S-0491,female,group A,associate's degree,free/reduced,none,65,85,76
S-0492,female,group C,associate's degree,standard,none,64,64,70
S-0493,female,group C,some college,standard,none,83,83,90
S-0494,female,group C,bachelor's degree,standard,none,81,88,90
S-0495,female,group B,high school,standard,none,54,64,68
S-0496,male,group D,high school,standard,completed,68,64,66
S-0497,female,group C,some college,standard,none,54,48,52
S-0498,female,group D,some college,free/reduced,completed,59,78,76
S-0499,female,group B,some high school,standard,none,66,69,68
S-0500,male,group E,some college,standard,none,76,71,72
S-0501,female,group D,master's degree,standard,none,74,79,82
S-0502,female,group B,associate's degree,standard,completed,94,87,92
S-0503,male,group C,some college,free/reduced,none,63,61,54
S-0504,female,group E,associate's degree,standard,completed,95,89,92
S-0505,female,group D,master's degree,free/reduced,none,40,59,54
S-0506,female,group B,some high school,standard,none,82,82,80
S-0507,male,group A,high school,standard,none,68,70,66
S-0508,male,group B,bachelor's degree,free/reduced,none,55,59,54
S-0509,male,group C,master's degree,standard,none,79,78,77
S-0510,female,group C,bachelor's degree,standard,none,86,92,87
S-0511,male,group D,some college,standard,none,76,71,73
S-0512,male,group A,some high school,standard,none,64,50,43
S-0513,male,group D,some high school,free/reduced,none,62,49,52
S-0514,female,group B,some high school,standard,completed,54,61,62
S-0515,female,group B,master's degree,free/reduced,completed,77,97,94
S-0516,female,group C,some high school,standard,completed,76,87,85
